task_id,manager_id,manager_name,team,channel,priority,requires_login,target_category,query,agent_prompt,output_path_hint,evidence_policy
agent_reach_czechia_koubek_web_tactical_reports,czechia_koubek,Miroslav Koubek,Czechia,web_tactical_reports,1,False,tactical_reports,Miroslav Koubek Czechia tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Miroslav Koubek (Czechia) for the World Cup project.
Channel: web_tactical_reports. Query: Miroslav Koubek Czechia tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/czechia_koubek/.
Each Markdown file must start with these metadata lines:
manager_id: czechia_koubek
manager_name: Miroslav Koubek
team: Czechia
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/czechia_koubek/,Core recurring tactical evidence from public tactical reports.
agent_reach_czechia_koubek_press_conferences,czechia_koubek,Miroslav Koubek,Czechia,press_conferences,2,False,press_conferences,Miroslav Koubek Czechia press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Miroslav Koubek (Czechia) for the World Cup project.
Channel: press_conferences. Query: Miroslav Koubek Czechia press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/czechia_koubek/.
Each Markdown file must start with these metadata lines:
manager_id: czechia_koubek
manager_name: Miroslav Koubek
team: Czechia
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/czechia_koubek/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_czechia_koubek_youtube_breakdowns,czechia_koubek,Miroslav Koubek,Czechia,youtube_breakdowns,3,False,external_views,Czechia Miroslav Koubek tactical breakdown video analysis,"Use Agent-Reach to research Miroslav Koubek (Czechia) for the World Cup project.
Channel: youtube_breakdowns. Query: Czechia Miroslav Koubek tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/czechia_koubek/.
Each Markdown file must start with these metadata lines:
manager_id: czechia_koubek
manager_name: Miroslav Koubek
team: Czechia
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/czechia_koubek/,Use captions/transcripts when available; cite the video URL.
agent_reach_czechia_koubek_github_and_open_data,czechia_koubek,Miroslav Koubek,Czechia,github_and_open_data,4,False,decision_records,Czechia football open data lineups formations substitutions Miroslav Koubek,"Use Agent-Reach to research Miroslav Koubek (Czechia) for the World Cup project.
Channel: github_and_open_data. Query: Czechia football open data lineups formations substitutions Miroslav Koubek
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/czechia_koubek/.
Each Markdown file must start with these metadata lines:
manager_id: czechia_koubek
manager_name: Miroslav Koubek
team: Czechia
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/czechia_koubek/,Prefer structured public data and transparent match records.
agent_reach_mexico_aguirre_web_tactical_reports,mexico_aguirre,Javier Aguirre,Mexico,web_tactical_reports,1,False,tactical_reports,Javier Aguirre Mexico tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Javier Aguirre (Mexico) for the World Cup project.
Channel: web_tactical_reports. Query: Javier Aguirre Mexico tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/.
Each Markdown file must start with these metadata lines:
manager_id: mexico_aguirre
manager_name: Javier Aguirre
team: Mexico
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/,Core recurring tactical evidence from public tactical reports.
agent_reach_mexico_aguirre_press_conferences,mexico_aguirre,Javier Aguirre,Mexico,press_conferences,2,False,press_conferences,Javier Aguirre Mexico press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Javier Aguirre (Mexico) for the World Cup project.
Channel: press_conferences. Query: Javier Aguirre Mexico press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/.
Each Markdown file must start with these metadata lines:
manager_id: mexico_aguirre
manager_name: Javier Aguirre
team: Mexico
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/,Direct manager quotes should be separated from journalist interpretation.
agent_reach_mexico_aguirre_youtube_breakdowns,mexico_aguirre,Javier Aguirre,Mexico,youtube_breakdowns,3,False,external_views,Mexico Javier Aguirre tactical breakdown video analysis,"Use Agent-Reach to research Javier Aguirre (Mexico) for the World Cup project.
Channel: youtube_breakdowns. Query: Mexico Javier Aguirre tactical breakdown video analysis
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/.
Each Markdown file must start with these metadata lines:
manager_id: mexico_aguirre
manager_name: Javier Aguirre
team: Mexico
category: external_views
source_url: <original URL>
source_title: <source title>
source_channel: youtube_breakdowns
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/,Use captions/transcripts when available; cite the video URL.
agent_reach_mexico_aguirre_github_and_open_data,mexico_aguirre,Javier Aguirre,Mexico,github_and_open_data,4,False,decision_records,Mexico football open data lineups formations substitutions Javier Aguirre,"Use Agent-Reach to research Javier Aguirre (Mexico) for the World Cup project.
Channel: github_and_open_data. Query: Mexico football open data lineups formations substitutions Javier Aguirre
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/.
Each Markdown file must start with these metadata lines:
manager_id: mexico_aguirre
manager_name: Javier Aguirre
team: Mexico
category: decision_records
source_url: <original URL>
source_title: <source title>
source_channel: github_and_open_data
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/mexico_aguirre/,Prefer structured public data and transparent match records.
agent_reach_south_africa_broos_web_tactical_reports,south_africa_broos,Hugo Broos,South Africa,web_tactical_reports,1,False,tactical_reports,Hugo Broos South Africa tactical analysis formation pressing transitions World Cup 2026,"Use Agent-Reach to research Hugo Broos (South Africa) for the World Cup project.
Channel: web_tactical_reports. Query: Hugo Broos South Africa tactical analysis formation pressing transitions World Cup 2026
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/south_africa_broos/.
Each Markdown file must start with these metadata lines:
manager_id: south_africa_broos
manager_name: Hugo Broos
team: South Africa
category: tactical_reports
source_url: <original URL>
source_title: <source title>
source_channel: web_tactical_reports
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/south_africa_broos/,Core recurring tactical evidence from public tactical reports.
agent_reach_south_africa_broos_press_conferences,south_africa_broos,Hugo Broos,South Africa,press_conferences,2,False,press_conferences,Hugo Broos South Africa press conference tactics lineup substitutions World Cup,"Use Agent-Reach to research Hugo Broos (South Africa) for the World Cup project.
Channel: press_conferences. Query: Hugo Broos South Africa press conference tactics lineup substitutions World Cup
Use public sources only.
Save one Markdown file per useful source under data/raw/research_evidence/agent_reach_inbox/south_africa_broos/.
Each Markdown file must start with these metadata lines:
manager_id: south_africa_broos
manager_name: Hugo Broos
team: South Africa
category: press_conferences
source_url: <original URL>
source_title: <source title>
source_channel: press_conferences
Then include source-grounded notes only. Do not invent tactical claims.",data/raw/research_evidence/agent_reach_inbox/south_africa_broos/,Direct manager quotes should be separated from journalist interpretation.
